date,Dividends
1992-06-19,0.1
1993-07-27,
1994-06-23,1.0
1995-06-15,
1996-05-04,
1997-06-12,
1998-06-15,
1999-06-15,
2000-05-15,
2001-06-26,
2002-06-19,
2003-07-07,
2004-06-14,0.481996
2005-06-13,1.821562
2006-06-20,2.39018
2007-06-08,2.954838
2008-07-16,2.994919
2009-07-15,2.984965
2010-07-06,2.999732
2011-06-29,2.999513
2012-07-04,2.999481
2013-07-03,2.999552
2014-07-14,2.999912
2015-06-29,4.499875
2016-06-27,6.0
2017-06-26,7.0
2018-06-25,8.0
2019-06-24,8.0
2019-09-19,2.0
2019-12-19,2.5
2020-03-19,2.5
2020-06-18,2.5
2020-09-17,2.5
2020-12-17,2.5
2021-03-17,2.5
2021-06-17,2.5
2021-09-16,2.75
2021-12-16,2.75
2022-03-16,2.75
2022-06-16,2.75
2022-09-15,2.75
2022-12-15,2.75
2023-03-16,2.749821
2023-06-15,2.749821
2023-09-14,3.0
2023-12-14,3.0
2024-03-18,3.49979
2024-06-13,3.49979
2024-09-12,4.000138
2024-12-12,3.999637
2025-03-18,4.50002
2025-06-12,4.50002
2025-09-16,5.000018
2025-12-11,5.0
