dates,ticker,open,high,low,close,volume
1998-07-21,TX,8131,8131,8036,8045,208
1998-07-22,TX,7950,7950,7820,7870,360
1998-07-23,TX,7830,7859,7802,7825,190
1998-07-24,TX,7750,7835,7740,7835,340
1998-07-27,TX,7830,7835,7780,7786,150
1998-07-28,TX,7809,7830,7741,7742,264
1998-07-29,TX,7710,7729,7657,7680,323
1998-07-30,TX,7665,7678,7620,7638,222
1998-07-31,TX,7660,7683,7600,7600,257
1998-08-01,TX,7557,7609,7550,7609,378
1998-08-03,TX,7640,7657,7542,7552,293
1998-08-04,TX,7555,7600,7548,7560,302
1998-08-05,TX,7510,7520,7470,7487,455
1998-08-06,TX,7515,7525,7451,7462,270
1998-08-07,TX,7480,7520,7452,7515,453
1998-08-10,TX,7500,7500,7350,7365,345
1998-08-11,TX,7316,7379,7316,7360,386
1998-08-12,TX,7335,7335,7281,7330,384
1998-08-13,TX,7360,7378,7291,7291,496
1998-08-14,TX,7275,7326,7140,7320,528
1998-08-15,TX,7261,7338,7261,7300,361
1998-08-17,TX,7285,7285,7219,7219,308
1998-08-18,TX,7250,7250,7165,7220,574
1998-08-19,TX,7269,7300,7260,7285,543
1998-08-20,TX,7300,7300,7253,7274,322
1998-08-21,TX,7255,7255,7220,7225,301
1998-08-24,TX,7172,7175,6955,6955,919
1998-08-25,TX,6938,6970,6844,6949,780
1998-08-26,TX,6990,7014,6790,6790,839
1998-08-27,TX,6681,6850,6651,6835,1137
1998-08-28,TX,6699,6820,6655,6695,1285
1998-08-29,TX,6700,6780,6700,6728,698
1998-08-31,TX,6750,6756,6566,6566,922
1998-09-01,TX,6352,6410,6216,6410,1584
1998-09-02,TX,6494,6495,6380,6430,1417
1998-09-03,TX,6400,6400,6200,6200,1459
1998-09-04,TX,6120,6400,6120,6399,1789
1998-09-05,TX,6420,6710,6420,6700,2198
1998-09-07,TX,6730,6769,6603,6719,1632
1998-09-08,TX,6719,6870,6700,6865,1410
1998-09-09,TX,6930,6931,6735,6770,1901
1998-09-10,TX,6720,6798,6702,6730,1371
1998-09-11,TX,6680,6769,6630,6769,1804
1998-09-14,TX,6789,6849,6769,6818,871
1998-09-15,TX,6840,6850,6780,6825,612
1998-09-16,TX,6815,6995,6815,6995,732
1998-09-17,TX,6945,6964,6892,6906,1979
1998-09-18,TX,6840,6876,6832,6842,1470
1998-09-19,TX,6859,7040,6855,7039,2339
1998-09-21,TX,7035,7060,6850,6861,2307
1998-09-22,TX,6930,6958,6855,6926,1715
1998-09-23,TX,6900,6946,6850,6852,1773
1998-09-24,TX,6940,6940,6870,6890,1403
1998-09-25,TX,6856,6881,6771,6871,1928
1998-09-28,TX,6860,6880,6801,6840,1132
1998-09-29,TX,6870,6875,6780,6806,1389
1998-09-30,TX,6806,6827,6751,6787,1239
1998-10-01,TX,6738,6745,6620,6620,2073
1998-10-02,TX,6530,6530,6311,6398,2532
1998-10-03,TX,6398,6555,6398,6550,2383
1998-10-06,TX,6490,6493,6320,6450,2007
1998-10-07,TX,6469,6640,6469,6639,2348
1998-10-08,TX,6600,7035,6600,6981,3281
1998-10-09,TX,6980,7028,6830,6900,3290
1998-10-12,TX,6980,6980,6900,6935,1613
1998-10-13,TX,6950,6990,6851,6852,2387
1998-10-14,TX,6830,6830,6740,6775,2224
1998-10-15,TX,6775,6781,6720,6760,1188
1998-10-17,TX,6950,6975,6895,6908,1592
1998-10-19,TX,6920,6926,6871,6900,641
1998-10-20,TX,6885,6898,6812,6812,777
1998-10-21,TX,6812,7055,6789,7054,926
1998-10-22,TX,7030,7038,6905,6955,2243
1998-10-23,TX,6975,7040,6962,7015,2586
1998-10-26,TX,7000,7010,6951,7010,1463
1998-10-27,TX,7020,7061,6980,7014,2071
1998-10-28,TX,7005,7020,6906,6914,2947
1998-10-29,TX,6912,6965,6907,6965,1515
1998-10-30,TX,7000,7046,6950,7035,2302
1998-10-31,TX,7058,7120,7035,7118,2753
1998-11-02,TX,7129,7200,7118,7181,2530
1998-11-03,TX,7150,7150,7073,7080,2876
1998-11-04,TX,7051,7060,6920,6958,3434
1998-11-05,TX,6970,7025,6903,7015,2888
1998-11-06,TX,7018,7018,6915,6921,3000
1998-11-07,TX,6930,7000,6930,7000,2117
1998-11-09,TX,7001,7018,6940,6965,1374
1998-11-10,TX,6901,6901,6828,6831,2496
1998-11-11,TX,6781,6788,6707,6710,2317
1998-11-13,TX,6850,6899,6820,6894,2411
1998-11-16,TX,6914,7072,6914,7070,1784
1998-11-17,TX,7070,7180,7041,7165,1252
1998-11-18,TX,7195,7198,7052,7110,940
1998-11-19,TX,7160,7365,7160,7350,3567
1998-11-20,TX,7360,7390,7293,7390,2989
1998-11-21,TX,7425,7456,7355,7380,3385
1998-11-23,TX,7326,7380,7320,7344,1636
1998-11-24,TX,7425,7538,7425,7525,3250
1998-11-25,TX,7250,7380,7250,7366,4222
1998-11-26,TX,7385,7550,7368,7529,3485
1998-11-27,TX,7550,7558,7455,7490,2598
1998-11-30,TX,7480,7484,7410,7413,2194
1998-12-01,TX,7360,7415,7328,7336,2815
1998-12-02,TX,7400,7420,7355,7380,2268
1998-12-03,TX,7365,7370,7301,7321,1844
1998-12-04,TX,7320,7384,7306,7384,2017
1998-12-07,TX,7534,7540,7470,7470,2958
1998-12-08,TX,7500,7510,7350,7352,2678
1998-12-09,TX,7328,7338,7201,7226,2646
1998-12-10,TX,7200,7250,7151,7186,2171
1998-12-11,TX,7110,7190,6960,6965,2886
1998-12-14,TX,6965,7040,6940,6959,1576
1998-12-15,TX,6901,7010,6760,7000,2067
1998-12-16,TX,6975,6985,6760,6760,1701
1998-12-17,TX,6761,6870,6672,6691,5263
1998-12-18,TX,6750,6830,6660,6769,5258
1998-12-19,TX,6759,6759,6588,6612,4491
1998-12-21,TX,6660,6747,6650,6705,3869
1998-12-22,TX,6749,6950,6732,6940,4617
1998-12-23,TX,6920,6930,6820,6835,3868
1998-12-24,TX,6920,6949,6835,6840,3801
1998-12-28,TX,6789,6789,6550,6591,4403
1998-12-29,TX,6530,6645,6480,6630,3876
1998-12-30,TX,6649,6720,6581,6608,4600
1998-12-31,TX,6669,6680,6531,6531,3173
1999-01-05,TX,6430,6430,6074,6120,5058
1999-01-06,TX,6011,6330,6011,6245,5903
1999-01-07,TX,6385,6510,6211,6510,5515
1999-01-08,TX,6442,6520,6391,6452,4385
1999-01-11,TX,6478,6500,6385,6435,2558
1999-01-12,TX,6435,6470,6360,6390,3195
1999-01-13,TX,6332,6360,6290,6352,2693
1999-01-14,TX,6318,6335,6231,6280,2775
1999-01-15,TX,6220,6600,6200,6600,3923
1999-01-16,TX,6599,6619,6502,6530,2442
1999-01-18,TX,6530,6530,6410,6412,885
1999-01-19,TX,6421,6486,6355,6385,932
1999-01-20,TX,6385,6395,6309,6321,1015
1999-01-21,TX,6420,6548,6415,6417,4800
1999-01-22,TX,6359,6391,6271,6285,3985
1999-01-25,TX,6220,6220,6031,6040,3424
1999-01-26,TX,6089,6230,6026,6220,5115
1999-01-27,TX,6249,6270,6141,6145,3969
1999-01-28,TX,6101,6140,6052,6070,3359
1999-01-29,TX,6102,6120,6020,6080,3691
1999-01-30,TX,6080,6200,6050,6110,5084
1999-02-01,TX,6051,6051,5952,5954,3284
1999-02-02,TX,6000,6010,5860,5880,3803
1999-02-03,TX,5800,5940,5711,5890,5641
1999-02-04,TX,5852,5870,5550,5558,5240
1999-02-05,TX,5462,5775,5462,5580,5807
1999-02-06,TX,5640,5770,5590,5767,5022
1999-02-08,TX,5750,5890,5750,5835,3572
1999-02-09,TX,5800,5810,5751,5770,1545
1999-02-10,TX,5735,5849,5720,5840,1373
1999-02-20,TX,5980,6149,5950,6140,1197
1999-02-22,TX,6250,6550,6250,6530,5356
1999-02-23,TX,6539,6540,6315,6315,5973
1999-02-24,TX,6335,6426,6275,6425,5943
1999-02-25,TX,6395,6499,6350,6380,5210
1999-02-26,TX,6355,6470,6285,6469,4658
1999-03-01,TX,6410,6456,6368,6419,3787
1999-03-02,TX,6450,6450,6312,6345,4189
1999-03-03,TX,6301,6495,6298,6450,5452
1999-03-04,TX,6450,6478,6380,6388,5499
1999-03-05,TX,6400,6445,6340,6425,4459
