year,month,settlement_date
1998,1,1998-01-21
1998,2,1998-02-18
1998,3,1998-03-18
1998,4,1998-04-15
1998,5,1998-05-20
1998,6,1998-06-17
1998,7,1998-07-15
1998,8,1998-08-19
1998,9,1998-09-16
1998,10,1998-10-21
1998,11,1998-11-18
1998,12,1998-12-16
1999,1,1999-01-20
1999,2,1999-02-17
1999,3,1999-03-17
1999,4,1999-04-21
1999,5,1999-05-19
1999,6,1999-06-16
1999,7,1999-07-21
1999,8,1999-08-18
1999,9,1999-09-15
1999,10,1999-10-20
1999,11,1999-11-17
1999,12,1999-12-15
2000,1,2000-01-19
2000,2,2000-02-16
2000,3,2000-03-15
2000,4,2000-04-19
2000,5,2000-05-17
2000,6,2000-06-21
2000,7,2000-07-19
2000,8,2000-08-16
2000,9,2000-09-20
2000,10,2000-10-18
2000,11,2000-11-15
2000,12,2000-12-20
2001,1,2001-01-17
2001,2,2001-02-21
2001,3,2001-03-21
2001,4,2001-04-18
2001,5,2001-05-16
2001,6,2001-06-20
2001,7,2001-07-18
2001,8,2001-08-15
2001,9,2001-09-19
2001,10,2001-10-17
2001,11,2001-11-21
2001,12,2001-12-19
2002,1,2002-01-16
2002,2,2002-02-20
2002,3,2002-03-20
2002,4,2002-04-17
2002,5,2002-05-15
2002,6,2002-06-19
2002,7,2002-07-17
2002,8,2002-08-21
2002,9,2002-09-18
2002,10,2002-10-16
2002,11,2002-11-20
2002,12,2002-12-18
2003,1,2003-01-15
2003,2,2003-02-19
2003,3,2003-03-19
2003,4,2003-04-16
2003,5,2003-05-21
2003,6,2003-06-18
2003,7,2003-07-16
2003,8,2003-08-20
2003,9,2003-09-17
2003,10,2003-10-15
2003,11,2003-11-19
2003,12,2003-12-17
2004,1,2004-01-21
2004,2,2004-02-18
2004,3,2004-03-17
2004,4,2004-04-21
2004,5,2004-05-19
2004,6,2004-06-16
2004,7,2004-07-21
2004,8,2004-08-18
2004,9,2004-09-15
2004,10,2004-10-20
2004,11,2004-11-17
2004,12,2004-12-15
2005,1,2005-01-19
2005,2,2005-02-16
2005,3,2005-03-16
2005,4,2005-04-20
2005,5,2005-05-18
2005,6,2005-06-15
2005,7,2005-07-20
2005,8,2005-08-17
2005,9,2005-09-21
2005,10,2005-10-19
2005,11,2005-11-16
2005,12,2005-12-21
2006,1,2006-01-18
2006,2,2006-02-15
2006,3,2006-03-15
2006,4,2006-04-19
2006,5,2006-05-17
2006,6,2006-06-21
2006,7,2006-07-19
2006,8,2006-08-16
2006,9,2006-09-20
2006,10,2006-10-18
2006,11,2006-11-15
2006,12,2006-12-20
2007,1,2007-01-17
2007,2,2007-02-21
2007,3,2007-03-21
2007,4,2007-04-18
2007,5,2007-05-16
2007,6,2007-06-20
2007,7,2007-07-18
2007,8,2007-08-15
2007,9,2007-09-19
2007,10,2007-10-17
2007,11,2007-11-21
2007,12,2007-12-19
2008,1,2008-01-16
2008,2,2008-02-20
