date,symbol,time_idx,open,high,low,close,volume,return_close_pct,intraday_return,intraday_return_pct,day_of_week,day_of_month,month,week_of_year,days_until_holiday,is_taiwan_holiday,calendar_days_until_settlement,days_until_settlement,is_settlement_day,calendar_days_until_tsmc_exdiv,days_until_tsmc_exdiv,is_tsmc_exdiv,target_open_t1,target_close_t1,target_intraday_diff,target_intraday_return_pct,target_intraday_up
2025-10-27,TX,9957,,,,,,,,,0.0,27.0,10.0,44.0,5.0,0,23.0,17.0,0,45.0,33.0,0,,,,,
2025-10-28,TX,9958,,,,,,,,,1.0,28.0,10.0,44.0,4.0,0,22.0,16.0,0,44.0,32.0,0,,,,,
2025-10-29,TX,9959,,,,,,,,,2.0,29.0,10.0,44.0,3.0,0,21.0,15.0,0,43.0,31.0,0,,,,,
2025-10-30,TX,9960,,,,,,,,,3.0,30.0,10.0,44.0,2.0,0,20.0,14.0,0,42.0,30.0,0,,,,,
2025-10-31,TX,9961,,,,,,,,,4.0,31.0,10.0,44.0,1.0,0,19.0,13.0,0,41.0,29.0,0,,,,,
2025-11-03,TX,9962,,,,,,,,,0.0,3.0,11.0,45.0,5.0,0,16.0,12.0,0,38.0,28.0,0,,,,,
2025-11-04,TX,9963,,,,,,,,,1.0,4.0,11.0,45.0,4.0,0,15.0,11.0,0,37.0,27.0,0,,,,,
2025-11-05,TX,9964,,,,,,,,,2.0,5.0,11.0,45.0,3.0,0,14.0,10.0,0,36.0,26.0,0,,,,,
2025-11-06,TX,9965,,,,,,,,,3.0,6.0,11.0,45.0,2.0,0,13.0,9.0,0,35.0,25.0,0,,,,,
2025-11-07,TX,9966,,,,,,,,,4.0,7.0,11.0,45.0,1.0,0,12.0,8.0,0,34.0,24.0,0,,,,,
2025-11-10,TX,9967,,,,,,,,,0.0,10.0,11.0,46.0,5.0,0,9.0,7.0,0,31.0,23.0,0,,,,,
2025-11-11,TX,9968,,,,,,,,,1.0,11.0,11.0,46.0,4.0,0,8.0,6.0,0,30.0,22.0,0,,,,,
2025-11-12,TX,9969,,,,,,,,,2.0,12.0,11.0,46.0,3.0,0,7.0,5.0,0,29.0,21.0,0,,,,,
2025-11-13,TX,9970,,,,,,,,,3.0,13.0,11.0,46.0,2.0,0,6.0,4.0,0,28.0,20.0,0,,,,,
2025-11-14,TX,9971,,,,,,,,,4.0,14.0,11.0,46.0,1.0,0,5.0,3.0,0,27.0,19.0,0,,,,,
2025-11-17,TX,9972,,,,,,,,,0.0,17.0,11.0,47.0,5.0,0,2.0,2.0,0,24.0,18.0,0,,,,,
2025-11-18,TX,9973,,,,,,,,,1.0,18.0,11.0,47.0,4.0,0,1.0,1.0,0,23.0,17.0,0,,,,,
2025-11-19,TX,9974,,,,,,,,,2.0,19.0,11.0,47.0,3.0,0,0.0,0.0,1,22.0,16.0,0,,,,,
2025-11-20,TX,9975,,,,,,,,,3.0,20.0,11.0,47.0,2.0,0,27.0,19.0,0,21.0,15.0,0,,,,,
2025-11-21,TX,9976,,,,,,,,,4.0,21.0,11.0,47.0,1.0,0,26.0,18.0,0,20.0,14.0,0,,,,,
2025-11-24,TX,9977,,,,,,,,,0.0,24.0,11.0,48.0,5.0,0,23.0,17.0,0,17.0,13.0,0,,,,,
2025-11-25,TX,9978,,,,,,,,,1.0,25.0,11.0,48.0,4.0,0,22.0,16.0,0,16.0,12.0,0,,,,,
2025-11-26,TX,9979,,,,,,,,,2.0,26.0,11.0,48.0,3.0,0,21.0,15.0,0,15.0,11.0,0,,,,,
2025-11-27,TX,9980,,,,,,,,,3.0,27.0,11.0,48.0,2.0,0,20.0,14.0,0,14.0,10.0,0,,,,,
2025-11-28,TX,9981,,,,,,,,,4.0,28.0,11.0,48.0,1.0,0,19.0,13.0,0,13.0,9.0,0,,,,,
2025-12-01,TX,9982,,,,,,,,,0.0,1.0,12.0,49.0,5.0,0,16.0,12.0,0,10.0,8.0,0,,,,,
2025-12-02,TX,9983,,,,,,,,,1.0,2.0,12.0,49.0,4.0,0,15.0,11.0,0,9.0,7.0,0,,,,,
2025-12-03,TX,9984,,,,,,,,,2.0,3.0,12.0,49.0,3.0,0,14.0,10.0,0,8.0,6.0,0,,,,,
2025-12-04,TX,9985,,,,,,,,,3.0,4.0,12.0,49.0,2.0,0,13.0,9.0,0,7.0,5.0,0,,,,,
2025-12-05,TX,9986,,,,,,,,,4.0,5.0,12.0,49.0,1.0,0,12.0,8.0,0,6.0,4.0,0,,,,,
